fName,metaCleanId
Jennifer Grausman,847
Victor Kanefsky,848
Doug Pray,849
Terry Zwigoff,850
Kenneth Branagh,851
Jason Winer,852
Luc Besson,853
Barry Cook,854
Dante Ariola,855
John Erick Dowdle,856
James Franco,857
Leyla Bouzid,858
Miles Joris-Peyrafitte,859
RyÃƒÂ»suke Hamaguchi,860
Jessica Kingdon,861
Zhang Ke Jia,862
Edward Burns,863
Tony McNamara,864
Marius A. Markevicius,865
Ruthy Pribar,866
Ryan White,867
Robert Towne,868
Dan Verete,869
Chris Nelson,870
Sam Levinson,871
Robert Duvall,872
Ryan White,873
Isaac Florentine,874
Justin Kurzel,875
Jean-FranÃƒÂ§ois Richet,876
Elliot Greenebaum,877
David Bowers,878
Shelagh McLeod,879
David Mackenzie,880
Ramin Bahrani,881
Frederick Wiseman,882
Julian Schnabel,883
Adam Rodgers,884
Nicholas McCarthy,885
Dan Stone,886
Anh Hung Tran,887
Maisie Crow,888
StÃƒÂ©phane BrizÃƒÂ©,889
Zacharias Kunuk,890
Bonni Cohen,891
Chris Robinson,892
Mati Diop,893
Valentyn Vasyanovych,894
Gary Trousdale,895
John Putch,896
James Manera,897
Paul Johansson,898
David Brooks,899
David Leitch,900
Joe Wright,901
Joe Cornish,902
Athina Rachel Tsangari,903
Stanley Nelson,904
Takashi  Miike,905
Bonni Cohen,906
Matthew Tabak,907
Austin Chick,908
Chris Eska,909
John Wells,910
Kirsten Sheridan,911
Alice Winocour,912
Cristi Puiu,913
James C.E. Burke,914
Jerusha Hess,915
Jay Roach,916
Baz Luhrmann,917
Jeff Feuerzeig,918
Ellie Kanner,919
Paul Schrader,920
Gabe IbÃƒÂ¡ÃƒÂ±ez,921
James Felix McKenney,922
Ra'up McGee,923
Joan Chen,924
Sadaf Foroughi,925
Tate Taylor,926
Jordan Galland,927
James Cameron,928
Joss Whedon,929
Anthony Russo,930
Anthony Russo,931
DaniÃƒÂ¨le Thompson,932
Boaz Yakin,933
Paul W.S. Anderson,934
Colin Strause,935
Joby Harold,936
Mark Raso,937
Sarah Polley,938
Sam Mendes,939
Adam Yauch,940
Oliver Daly,941
Andreas Fontana,942
RyÃƒÂ»hei Kitamura,943
Mario Van Peebles,944
Alejandro GonzÃƒÂ¡lez IÃƒÂ±ÃƒÂ¡rritu,945
VladimÃƒÂ­r MichÃƒÂ¡lek,946
Thomas Balmes,947
John Singleton,948
Edgar Wright,949
Michael McCullers,950
Franco Rosso,951
Mathieu Kassovitz,952
Shannon Murphy,953
Leslye Headland,954
Alex Pettyfer,955
CÃƒÂ©dric Klapisch,956
Adam MacDonald,957
Bruce Van Dusen,958
Per Fly,959
Emmanuelle Bercot,960
Chris Fiore,961
Michael Petroni,962
Ben Hickernell,963
Juliano Dornelles,964
Spike Lee,965
Adil El Arbi,966
Michael Bay,967
Joel Schumacher,968
Jean-Pierre AmÃƒÂ©ris,969
Pedro AlmodÃƒÂ³var,970
Cory Finley,971
Mariana RondÃƒÂ³n,972
Justin Simien,973
Huck Botko,974
Radu Jude,975
Jacob Vaughan,976
Jon Lucas,977
Richard Linklater,978
Kevin Kerslake,979
Dean Devlin,980
Terry Zwigoff,981
Mark Waters,982
Damiano D'Innocenzo,983
Jake Kasdan,984
Drew Goddard,985
Kitao Sakurai,986
Simon Hawkins,987
Jason Bateman,988
Rachel Lang,989
Francesco Lucente,990
David E. Talbert,991
Jay Duplass,992
Antoine Fuqua,993
Lance Hammer,994
Jody Lee Lipes,995
Daniel Geller,996
Wych Kaosayananda,997
Michael Herbig,998
Jonathan Paley,999
Robert Ben Garant,1000
Andrew Disney,1001
Sijie Dai,1002
Abderrahmane Sissako,1003
Spike Lee,1004
Benjamin Kasulke,1005
Zoe Lister Jones,1006
Aaron Nee,1007
Barry Levinson,1008
Todd Graff,1009
Eva Husson,1010
Tanit Jitnukul,1011
Danny Pang,1012
Danny Pang,1013
Roger Donaldson,1014
Majid Majidi,1015
Josh Greenbaum,1016
Christian Petzold,1017
Tim Story,1018
Kevin Rodney Sullivan,1019
Malcolm D. Lee,1020
Andrew Fleming,1021
Kyle Newman,1022
Jason Priestley,1023
Joon-ho Bong,1024
Robert Carlyle,1025
Richard J. Lewis,1026
Steve Oedekerk,1027
Jason Cortlund,1028
Vikram Gandhi,1029
Erik Canuel,1030
Brian Hecker,1031
Jonathan Parker,1032
John McTiernan,1033
Michael Caton-Jones,1034
Can Evrenol,1035
Dan Baron,1036
Claire Denis,1037
Dava Whisenant,1038
Dana Nachman,1039
Christopher Nolan,1040
Zack Snyder,1041
Michael Galinsky,1042
Nick Broomfield,1043
Aristomenis Tsirbas,1044
Carlos Reygadas,1045
Stuart Townsend,1046
Jonathan Liebesman,1047
Jonathan Dayton,1048
Benson Lee,1049
Chris Stokes,1050
Roger Christian,1051
Peter Berg,1052
Seth Gordon,1053
F. Gary Gray,1054
Margaret Brown,1055
Michel Gondry,1056
Pamela B. Green,1057
Eric Khoo,1058
Eliza Hittman,1059
Kantemir Balagov,1060
Tracey Deer,1061
Alastair Fothergill,1062
Michael Pearce,1063
Danny Madden,1064
Spike Jonze,1065
Daniel Barnz,1066
Cary Fukunaga,1067
Benh Zeitlin,1068
Miguel Arteta,1069
Brian Welsh,1070
Michael Rapaport,1071
Claire Denis,1072
Sally Field,1073
Ekachai Uekrongtham,1074
Shawn Ku,1075
Felix Van Groeningen,1076
Bill Eagles,1077
Richard LaGravenese,1078
James Rasin,1079
Aaron Rose,1080
Jasmin Dizdar,1081
Christophe Gans,1082
Bill Condon,1083
Kaouther Ben Hania,1084
Jan Hrebejk,1085
Neil Berkeley,1086
Ann Hu,1087
Bille Woodruff,1088
Michael Lehmann,1089
Wayne Wang,1090
Peter Glenville,1091
Ferdinando Cito Filomarino,1092
Daniel Powell,1093
Cary Murnion,1094
Nadia Hallgren,1095
Pernille Fischer Christensen,1096
Liz Garbus,1097
Julian Jarrold,1098
Philippe B,1099
Harold Ramis,1100
Adam Shankman,1101
Simon J. Smith,1102
David Siegel,1103
Heather MacDonald,1104
Jay Chandrasekhar,1105
Andrew Bujalski,1106
Jessica Oreck,1107
Shawn Christensen,1108
Ry Russo-Young,1109
Jacques Nolot,1110
Rowan Joffe,1111
Richard Linklater,1112
Julian Schnabel,1113
Richard Linklater,1114
Sidney Lumet,1115
Dennis Gansel,1116
Fisher Stevens,1117
Santosh Sivan,1118
Chris Evans,1119
Kiyoshi Kurosawa,1120
Hannah Pearl Utt,1121
John Carney,1122
Mike Mills,1123
Dea Kulumbegashvili,1124
Tim Garrick,1125
Zhao Liang,1126
John Moore,1127
Leslie Zemeckis,1128
Scott Glosserman,1129
Walter Salles,1130
Xiaoshuai Wang,1131
AndrÃƒÂ© TÃƒÂ©chinÃƒÂ©,1132
Rob Reiner,1133
Constance Marks,1134
Daniel Junge,1135
Paul Weitz,1136
Miranda Bailey,1137
IstvÃƒÂ¡n SzabÃƒÂ³,1138
Aaron Sorkin,1139
Brad Anderson,1140
Declan Donnellan,1141
Andre Costantini,1142
Paul Weitz,1143
Kenneth Branagh,1144
Alejandro Gomez Monteverde,1145
Amma Asante,1146
Evan Glodell,1147
Christophe HonorÃƒÂ©,1148
Dominik Graf,1149
David Twohy,1150
April Mullen,1151
Arne Birkenstock,1152
R.J. Cutler,1153
Timur Bekmambetov,1154
Peter Hedges,1155
Gurinder Chadha,1156
Florent de La Tullaye,1157
Kief Davidson,1158
Larry Fessenden,1159
Ben Ketai,1160
Martin Guigui,1161
Aron Gaudet,1162
Paul Verhoeven,1163
