director,title
Brett Haley,All Together Now
Katie Holmes,All We Had
Andrea Kalin,Allah Made Me Funny: Live in Concert
Michael Connors,Allegiance
Fabrice Du Welz,Alléluia
Robert Zemeckis,Allied
Scott Marshall,All's Faire in Love
Carlos Sanchez,Allure
David E. Talbert,Almost Christmas
Cameron Crowe,Almost Famous
Steve Hoover,Almost Holy
Mike Doyle,Almost Love
Michel Deville,Almost Peaceful
Aaron Wickenden,Almost There
Claudia Llosa,Aloft
Cameron Crowe,Aloha
John Hyams,Alone
Vincent Perez,Alone in Berlin
Uwe Boll,Alone in the Dark
Eric Nicholas,Alone with Her
Lee Tamahori,Along Came a Spider
John Hamburg,Along Came Polly
Albert Hughes,Alpha
Anthony Bell,Alpha and Omega
Nick Cassavetes,Alpha Dog
Giorgos Lanthimos,Alps
Emily Ting,Already Tomorrow in Hong Kong
Tim Hill,Alvin and the Chipmunks
Mike Mitchell,Alvin and the Chipmunks: Chipwrecked
Betty Thomas,Alvin and the Chipmunks: The Squeakquel
Matthew Miele,Always at The Carlyle
Nahnatchka Khan,Always Be My Maybe
Jacqueline Olive,Always in Season
Sophia Takal,Always Shine
Rita Merson,Always Woodstock
Brian McGinn,Amanda Knox
Lee Hirsch,Amandla! A Revolution in Four Part Harmony
Michael Apted,Amazing Grace
Alan Elliott,Amazing Grace
Mira Nair,Amelia
Jean-Pierre Jeunet,Amélie
Costa-Gavras,Amen.
Bruno Forzani,Amer
Aaron Russo,America: Freedom to Fascism
Dinesh D'Souza,America: Imagine a World Without Her
Matt Thompson,America: The Motion Picture
Laurice Guillen,American Adobo
Matt D'Elia,American Animal
Bart Layton,American Animals
Michael Cuesta,American Assassin
Ian Inaba,American Blackout
Michael Nigro,American Cannibal: The Road to Reality
Leslie Cockburn,American Casino
James D. Stern,American Chaos
Piyush Dinker Pandya,American Desi
Errol Morris,American Dharma
Paul Weitz,American Dreamz
Julia Reichert,American Factory
David Heinz,American Folk
Ridley Scott,American Gangster
Aric Avelino,American Gun
Andrea Arnold,American Honey
David O. Russell,American Hustle
Doug Liman,American Made
Nathaniel Thomas McGill,American Made Movie
Jen Soska,American Mary
Les Mayfield,American Outlaws
J.B. Rogers,American Pie 2
Albert Hughes,American Pimp
Joe Brewster,American Promise
Mary Harron,American Psycho
Steven Quale,American Renegades
Hayden Schlossberg,American Reunion
Nate Parker,American Skin
Clint Eastwood,American Sniper
Kenny Leon,American Son
Robert Pulcini,American Splendor
Jon Hart,American Swing
Brian McGinn,American Teacher
Nanette Burstein,American Teen
Matt Harlock,American: The Bill Hicks Story
Nima Nourizadeh,American Ultra
Andrew Erwin,American Underdog
Tim Disney,American Violet
Jean-Pierre Marois,American Virgin
Jesse Dylan,American Wedding
Jake Scott,American Woman
Mathieu Demy,Americano
Louis Schwartzberg,America's Heart and Soul
Joe Roth,America's Sweethearts
John Sayles,Amigo
Sean Mullin,Amira & Sam
Francis Lee,Ammonite
Barbet Schroeder,Amnesia
Michael Polish,Amnesiac
Randy Redroad,Among Ravens
Hemal Trivedi,Among the Believers
Alejandro González Iñárritu,Amores Perros
Michael Haneke,Amour
Jessica Hausner,Amour Fou
Cherien Dabis,Amreeka
Shonali Bose,Amu
Romola Garai,Amulet
Nadia Tass,Amy
Asif Kapadia,Amy
Julie Davis,Amy's Orgasm
Joe Chappelle,An Acceptable Loss
Eiji Okuda,An Adolescent
Lucas Belvaux,An Amazing Couple
David Zucker,An American Carol
Brandon Trost,An American Pickle
Éva Gárdos,An American Rhapsody
Rebecca Zlotowski,An Easy Girl
Lone Scherfig,An Education
Bo Hu,An Elephant Sitting Still
Jim Hosking,An Evening with Beverly Luff Linn
Barry Levinson,An Everlasting Piece
Denys Arcand,An Eye for Beauty
Justin Weinstein,An Honest Liar
Bonni Cohen,An Inconvenient Sequel: Truth to Power
Davis Guggenheim,An Inconvenient Truth
Marilyn Agrelo,An Invisible Sign
Amy Berg,An Open Secret
Brad Silberling,An Ordinary Man
Terence Nance,An Oversimplification of Her Beauty
Lasse Hallstrom,An Unfinished Life
Henriette Mantel,An Unreasonable Man
Georgina Riedel,Ana Maria in Novela Land
Harold Ramis,Analyze That
Henry Miller,Anamorph
Catherine Breillat,Anatomy of Hell
Carlos Marques-Marcet,Anchor and Hope
Adam McKay,Anchorman 2: The Legend Continues
Adam McKay,Anchorman: The Legend of Ron Burgundy
Zack Bernbaum,And Now a Word from Our Sponsor
Claude Lelouch,And Now... Ladies and Gentlemen...
Rob Reiner,And So It Goes
Levan Akin,And Then We Danced
Yvan Attal,...And They Lived Happily Ever After
Kat Coiro,And While We Were Here
Cindy Kleine,Andre Gregory: Before and After Dinner
Ric Burns,Andy Warhol: A Documentary Film
Tim Blake Nelson,Anesthesia
Luc Besson,Angel-A
Luis Mandoki,Angel Eyes
Ric Roman Waugh,Angel Has Fallen
James Longley,Angels Are Made of Light
Gaby Dellal,Angels Crest
Ron Howard,Angels & Demons
Tim McCanlies,Angels Sing
Vivian Qu,Angels Wear White
Peter Segal,Anger Management
David Michôd,Animal Kingdom
Collin Schiffli,Animals
Ian McCrudden,Anita O'Day: The Life of a Jazz Singer
Jorge Dorado,Anna
Luc Besson,Anna
John McPhail,Anna and the Apocalypse
Joe Wright,Anna Karenina
Gary Dauberman,Annabelle Comes Home
David F. Sandberg,Annabelle: Creation
Kazik Radwanski,"Anne at 13,000 ft"
Leos Carax,Annette
Will Gluck,Annie
Alex Garland,Annihilation
Charlie Kaufman,Anomalisa
Andrew Niccol,Anon
Roland Emmerich,Anonymous
Mike Cahill,Another Earth
Carson D. Mell,Another Evil
Todd Stephens,Another Gay Movie
Sam Levinson,Another Happy Day
Danae Elon,Another Road Home
Thomas Vinterberg,Another Round
Mike Leigh,Another Year
Matthew Leutwyler,Answers to Nothing
Peyton Reed,Ant-Man
Peyton Reed,Ant-Man and the Wasp
Luc Jacquet,Antarctica: Ice and Sky
Christopher Renz,Antebellum
Edward Burtynsky,Anthropocene: The Human Epoch
Sean Ellis,Anthropoid
Danny Perez,Antibirth
Christian Alvart,Antibodies
Lars von Trier,Antichrist
Peter Howitt,Antitrust
Scott Cooper,Antlers
Dover Koshashvili,Anton Chekhov's The Duel
Denzel Washington,Antwone Fisher
Sacha Gervasi,Anvil! The Story of Anvil
Travis Fine,Any Day Now
Robert Cary,Anything But Love
Woody Allen,Anything Else
Karyn Kusama,Æon Flux
Francis Ford Coppola,Apocalypse Now: Final Cut
Francis Ford Coppola,Apocalypse Now Redux
Mel Gibson,Apocalypto
Todd Douglas Miller,Apollo 11
Gonzalo López-Gallego,Apollo 18
Gareth Evans,Apostle
Martin Zandvliet,Applause
Shinji Aramaki,Appleseed
Amanda Wilder,Approaching the Elephant
Desiree Akhavan,Appropriate Behavior
Pierre Salvadori,Apres Vous (After You)
Christian Desmares,April and the Extraordinary World
Trish Doolan,April's Shower
Antonio Méndez Esparza,Aquí y Allá (Here and There)
Dave Willis,Aqua Teen Hunger Force Colon Movie Film for Theaters
James Wan,Aquaman
Elizabeth Allen,Aquamarine
Victor Kossakovsky,Aquarela
Kleber Mendonça Filho,Aquarius
Miguel Gomes,"Arabian Nights: Volume 2, The Desolate One"
Miguel Gomes,"Arabian Nights: Volume 3, The Enchanted One"
Affonso Uchoa,Araby
Travis Klose,Arakimentari
Atom Egoyan,Ararat
Margot Benacerraf,Araya
Nicholas Jarecki,Arbitrage
Adam Egypt Mortimer,Archenemy
Joanna Hogg,Archipelago
Joe Penna,Arctic
Adam Ravetch,Arctic Tale
Pablo Fendrik,Ardor
Brian Levant,Are We There Yet?
Matthew Weiner,Are You Here
Ben Affleck,Argo
Nicolas Rossier,Aristide and the Endless Revolution
Jonathan Watson,Arizona
Clark Duke,Arkansas
Janus Metz Pedersen,Armadillo
Nimród Antal,Armored
David Fairhead,Armstrong
Sarah Goodman,Army of One
Zack Snyder,Army of the Dead
Matthias Schweighöfer,Army of Thieves
Jordan Roberts,Around the Bend
Frank Coraci,Around the World in 80 Days
Iván Zulueta,Arrebato (1979)
Denis Villeneuve,Arrival
Steven C. Miller,Arsenal
Jennifer Grausman,Art and Craft
Victor Kanefsky,Art Bastard
Doug Pray,Art & Copy
Terry Zwigoff,Art School Confidential
Kenneth Branagh,Artemis Fowl
Luc Besson,Arthur and the Invisibles
Barry Cook,Arthur Christmas
Dante Ariola,Arthur Newman
John Erick Dowdle,"As Above, So Below"
James Franco,As I Lay Dying
Leyla Bouzid,As I Open My Eyes
Miles Joris-Peyrafitte,As You Are
Ryûsuke Hamaguchi,Asako I & II
Jessica Kingdon,Ascension
Zhang Ke Jia,Ash Is Purest White
Edward Burns,Ash Wednesday
Tony McNamara,Ashby
Marius A. Markevicius,Ashes in the Snow
Ruthy Pribar,Asia
Ryan White,Ask Dr. Ruth
Robert Towne,Ask the Dust
Dan Verete,Asphalt Zahov
Chris Nelson,Ass Backwards
Sam Levinson,Assassination Nation
Robert Duvall,Assassination Tango
Ryan White,Assassins
Isaac Florentine,Assassin's Bullet
Jean-François Richet,Assault on Precinct 13
Elliot Greenebaum,Assisted Living
David Bowers,Astro Boy
Shelagh McLeod,Astronaut
