director,title
Jason Freeland,Garden Party
Zach Braff,Garden State
Peter Hewitt,Garfield
Tim Hill,Garfield: A Tail of Two Kitties
Michele Maher,Garmento
Sasha Waters Freyer,Garry Winogrand: All Things are Photographable
Monica Stambrini,Gasoline
Susan Seidelman,Gaudi Afternoon
Edouard Deluc,Gauguin: Voyage to Tahiti
David Charles Rodrigues,Gay Chorus Deep South
Jonathan Lisecki,Gayby
James Longley,Gaza Strip
Darren Stein,G.B.F.
Ang Lee,Gemini Man
Anne Fontaine,Gemma Bovery
Philippe Lesage,Genèse (Genesis)
Vlad Yudin,Generation Iron
Victor Ginzburg,Generation P
Mark Mann,Generation Um...
Philipp Kadelbach ,Generation War
Lauren Greenfield,Generation Wealth
Claude Nuridsany,Genesis
Michael Grandage,Genius
Michèle Hozer,Genius Within: The Inner Life of Glenn Gould
Jared Hess,Gentlemen Broncos
David Gordon Green,George Washington
Christoph Waltz,Georgetown
Garry Marshall,Georgia Rule
Dean Devlin,Geostorm
Mike Flanagan,Gerald's Game
Corinna Belz,Gerhard Richter - Painting
Bruce La Bruce,Gerontophilia
Jeff Reichert,Gerrymandering
Stephen T. Kay,Get Carter
Ninian Doff,Get Duked!
Etan Cohen,Get Hard
Nicholas Stoller,Get Him to the Greek
Aaron Schneider,Get Low
Daniel DiMauro,Get Me Roger Stone
Jordan Peele,Get Out
Tommy O'Haver,Get Over It
Jim Sheridan,Get Rich or Die Tryin'
Ronit Elkabetz,Gett: The Trial of Viviane Amsalem
E. Raymond Brown,GhettoPhysics: Will the Real Pimps and Hos Please Stand Up?
Jim Jarmusch,Ghost Dog: The Way of the Samurai
Mamoru Oshii,Ghost in the Shell 2: Innocence
Rupert Sanders,Ghost in the Shell
Brian Taylor,Ghost Rider: Spirit of Vengeance
Olivier Dahan,Ghost River
Steve Beck,Ghost Ship
Andy Nyman,Ghost Stories
Ben Peyser,Ghost Team One
David Koepp,Ghost Town
Denis Côté,Ghost Town Anthology
Terry Zwigoff,Ghost World
John Maringouin,Ghostbox Cowboy
Paul Feig,Ghostbusters
Jason Reitman,Ghostbusters: Afterlife
Christopher Herrmann,Ghostlight
Asger Leth,Ghosts of Cité Soleil
Mark Waters,Ghosts of Girlfriends Past
John Carpenter,Ghosts of Mars
James Cameron,Ghosts of the Abyss
Eric Bress,Ghosts of War
Roman Polanski,The Ghost Writer
Jon M. Chu,G.I. Joe: Retaliation
Stephen Sommers,G.I. Joe: The Rise of Cobra
Adrián Biniez,Giant
Keith Behrman,Giant Little Ones
Grear Patterson,Giants Being Lonely
Dawn Porter,Gideon's Army
Marc Webb,Gifted
Matt Aselton,Gigantic
AJ Schnack,Gigantic (A Tale of Two Johns)
Martin Brest,Gigli
Neil Berkeley,Gilbert
Frédéric Fonteyne,Gilles' Wife
Jim Jarmusch,Gimme Danger
Albert Maysles,Gimme Shelter (re-release)
Ron Krauss,Gimme Shelter
Adam Leon,Gimme the Loot
Sally Potter,Ginger & Rosa
John Fawcett,Ginger Snaps
Silvio Soldini,Giorni e nuvole
Lukas Dhont,Girl
Rosemary Myers,Girl Asleep
Ashley Sabin,Girl Model
Robert Pulcini,Girl Most Likely
Jeremy Leven,Girl on a Bicycle
Patrice Leconte,Girl on the Bridge
Lee Friedlander,Girl Play
Peter Webber,Girl with a Pearl Earring
Céline Sciamma,Girlhood
Austin Chick,Girls Against Boys
Anne-Sophie Birot,Girls Can't Swim
Eva Husson,Girls of the Sun
Arne Johnson,Girls Rock!
Malcolm D. Lee,Girls Trip
Richard Day,Girls Will Be Girls
Kirill Mikhanovsky,Give Me Liberty
Ridley Scott,Gladiator
M. Night Shyamalan,Glass
Noah Buschel,Glass Chin
Gerard Barrett,Glassland
Julien Temple,Glastonbury
J. Clay Tweel,Gleason
Kevin Tancharoen,Glee: The 3D Concert Movie
James Keach,Glen Campbell: I'll Be Me
Vondie Curtis-Hall,Glitter
Rolf Schübel,Gloomy Sunday
Sebastián Lelio,Gloria
Sebastián Lelio,Gloria Bell
James Gartner,Glory Road
Jeremy Seifert,GMO OMG
Kelly Asbury,Gnomeo and Juliet
Emily Ting,Go Back to China
John Sayles,Go for Sisters
Dani Levy,Go for Zucker
Ron Mann,Go Further
Kenneth A Carlson,Go Tigers!
Danny Cannon,Goal! The Dream Begins
Andrew Neel,Goat
Christopher Neil,Goats
Bobcat Goldthwait,God Bless America
Christopher Dillon Quinn,God Grew Tired of Us
Stuart Murdoch,God Help the Girl
Jedd Wider,God Knows Where I Am
Roger Ross Williams,God Loves Uganda
Michel Hazanavicius,Godard Mon Amour
Sharon Maguire,Godmothered
Ronald F. Maxwell,Gods and Generals
Richard Dutcher,God's Army
Harold Cronk,God's Not Dead 2
Michael Mason,God's Not Dead: A Light in Darkness
Alex Proyas,Gods of Egypt
Francis Lee,God's Own Country
John Slattery,God's Pocket
Doron Eran,God's Sandbox
Nick Hamm,Godsend
Robert Saitzyk,Godspeed
Gareth Edwards,Godzilla
Michael Dougherty,Godzilla: King of the Monsters
Adam Wingard,Godzilla vs. Kong
Alex Gibney,Going Clear: Scientology and the Prison of Belief
Zach Braff,Going in Style
Henry Jaglom,Going Shopping
Nanette Burstein,Going the Distance
George Butler,Going Upriver: The Long War of John Kerry
Stephen Gaghan,Gold
Jeremy Kagan,Golda's Balcony
Emanuele Crialese,Golden Door
Alex Ross Perry,Golden Exits
Sam de Jong,Goldie
Ivan Sen,Goldstone
Matteo Garrone,Gomorrah
Heitor Dhalia,Gone
Ben Affleck,Gone Baby Gone
David Fincher,Gone Girl
Dominic Sena,Gone in Sixty Seconds
Alex Gibney,Gonzo: The Life and Work of Dr. Hunter S. Thompson
Vicente Amorim,Good
John Hoffman,Good Boy!
Gene Stupnitsky,Good Boys
Ming-liang Tsai,"Good Bye, Dragon Inn"
Tyler Perry,Good Deeds
Marianna Palka,Good Dick
Andrew Niccol,Good Kill
Mark Helfrich,Good Luck Chuck
Juliana Rojas,Good Manners
Marco Bellocchio,"Good Morning, Night"
Jacob Tierney,Good Neighbors
George Clooney,"Good Night, and Good Luck."
Ryan White,Good Ol' Freda
Kim Gatewood,Good on Paper
Henrik Ruben Genz,Good People
Ben Safdie,Good Time
Simon Curtis,Goodbye Christopher Robin
Mia Hansen-Løve,Goodbye First Love
Wolfgang Becker,Goodbye Lenin!
Ramin Bahrani,Goodbye Solo
Jean-Luc Godard,Goodbye to Language 3D
Denis Hennelly,Goodbye World
Severin Fiala,Goodnight Mommy
Justin Chon,Gook
Michael Dowse,Goon
Jay Baruchel,Goon: Last of the Enforcers
Rob Letterman,Goosebumps
Ari Sandel,Goosebumps 2: Haunted Halloween
Nicholas D. Wrathall,Gore Vidal: The United States of Amnesia
Robert Altman,Gosford Park
Davis Guggenheim,Gossip
Mathieu Kassovitz,Gothika
Lisa Kirk Colburn,Gottfried Helnwein and the Dreaming Child
Kevin Connolly,Gotti
Carlos Saura,Goya in Bordeaux
Milos Forman,Goya's Ghosts
Takashi  Miike,Gozu
James C. Strouse,Grace Is Gone
Sophie Fiennes,Grace Jones: Bloodlight and Bami
Ron Morales,Graceland
Davis Guggenheim,Gracie
Cristian Mungiu,Graduation
Clint Eastwood,Gran Torino
Eugenio Mira,Grand Piano
David Caffrey,Grand Theft Parsons
Paul Weitz,Grandma
Nicholaus Goossen,Grandma's Boy
Ron Mann,Grass
Sang-soo Hong,Grass
Stephen Gyllenhaal,Grassroots
Gillian Grisman,Grateful Dawg
Alfonso Cuarón,Gravity
Sue Kramer,Gray Matters
Emanuele Crialese,Grazia's Island
Jasmila Zbanic,Grbavica: The Land of My Dreams
Mike Newell,Great Expectations
Craig Zobel,Great World of Sound
Michael Winterbottom,Greed
Jan Svankmajer,Little Otik
Craig Scott Rosebraugh,Greedy Lying Bastards
Timothy Linh Bui,Green Dragon
Jeremy Saulnier,Green Room
Lexi Alexander,Green Street Hooligans
Paul Greengrass,Green Zone
Noah Baumbach,Greenberg
Neil Young,Greendale
Dawn Luebbe,Greener Grass
Joel Hershman,Greenfingers
Ric Roman Waugh,Greenland
Daniel Algrant,Greetings from Tim Buckley
Ben Shapiro,Gregory Crewdson: Brief Encounters
Neil Jordan,Greta
Aaron Schneider,Greyhound
Phil Joanou,Gridiron Gang
Leon Ford,Griff the Invisible
Chris Marker,Grin Without a Cat
Casey La Scala,Grind
Edgar Wright,Grindhouse
Nash Edgerton,Gringo
Jacques Becker,Grisbi (re-release)
Stewart Raffill,Grizzly Falls
André Szöts,Grizzly II: Revenge (1983)
Werner Herzog,Grizzly Man
Greg Harrison,Groove
Anne de Marcken,Group
Danny Jacobs,Growing Up and Other Lies
Dennis Dugan,Grown Ups 2
Peter Segal,Grudge Match
James Gunn,Guardians of the Galaxy
James Gunn,Guardians of the Galaxy Vol. 2
Alonso Ruiz Palacios,Güeros
Robert Stone,Guerrilla: The Taking of Patty Hearst
Kevin Rodney Sullivan,Guess Who
Paul Hasegawa-Overacker,Guest of Cindy Sherman
Atom Egoyan,Guest of Honour
Pat Mills,Guidance
Shion Sono,Guilty of Romance
Rob Letterman,Gulliver's Travels
Rashaad Ernesto Green,Gun Hill Road
Eric Blakeney,Gun Shy
Victor Kossakovsky,Gunda
Michael Tucker,Gunner Palace
Adam Yauch,Gunnin' for That #1 Spot
Navot Papushado,Gunpowder Milkshake
Jason Lei Howden,Guns Akimbo
Su Friedrich,Gut Renovation
Damien Chazelle,Guy and Madeline on a Park Bench
Sherry Horman,Guys and Balls
Martin Sulík,Gypsy
Todd Stephens,Gypsy 83
John Sheedy,H is for Happiness
Arik Kaplun,Ha-Chaverim Shel Yana
Joseph Cedar,Ha-Hesder
Mel Gibson,Hacksaw Ridge
Bruno Dumont,Hadewijch
Jacob Kornbluth,Haiku Tunnel
Penny Lane,Hail Satan?
Bill Plympton,Hair High
Leslie Small,Hair Show
Billy Kent,HairBrained
Adam Shankman,Hairspray
Amy Scott,Hal
Minhal Baig,Hala
Luke Greenfield,Half Brothers
Heather Graham,Half Magic
Bahman Ghobadi,Half Moon
Ryan Fleck,Half Nelson
Biyi Bandele,Half of a Yellow Sun
Don Michael Paul,Half Past Dead
Bobby Farrelly,Hall Pass
Rob Zombie,Halloween (2007)
David Gordon Green,Halloween
Rob Zombie,Halloween II (2009)
David Gordon Green,Halloween Kills
Rick Rosenthal,Halloween: Resurrection
Frédéric Tcheng,Halston
Tyler Taormina,Ham on Rye
Thomas Kail,Hamilton
Andrew Fleming,Hamlet 2
Michael Almereyda,Hamlet
Christian Sparkes,Hammer
Joel Hopkins,Hampstead
Peter Berg,Hancock
Bette Gordon,Handsome Harry
Diane Keaton,Hanging Up
Johnny Martin,Hangman
James E. Duff,Hank and Asha
Joe Wright,Hanna
Margarethe von Trotta,Hannah Arendt
Peter Chelsom,Hannah Montana: The Movie
Joe Swanberg,Hannah Takes the Stairs
Ridley Scott,Hannibal
Peter Webber,Hannibal Rising
Tommy Wirkola,Hansel and Gretel: Witch Hunters
Laurent Firode,Happenstance
Clea DuVall,Happiest Season
Paul Bolger,Happily N'Ever After
Adam Sherman,Happiness Runs
Brad Anderson,Happy Accidents
Alice Rohrwacher,Happy as Lazzaro
Joe Swanberg,Happy Christmas
Christopher B. Landon,Happy Death Day
Christopher B. Landon,Happy Death Day 2U
Michael Haneke,Happy End
George Miller,Happy Feet
George Miller,Happy Feet Two
Anne Sewitsky,"Happy, Happy"
Michael Almereyda,Happy Here and Now
Mike Bencivenga,Happy Hour
Dmitry Vasyukov,Happy People: A Year in the Taiga
Mitchell Lichtenstein,Happy Tears
Yimou Zhang,Happy Times
Amir Bar-Lev,Happy Valley
Josh Radnor,Happythankyoumoreplease
Takashi Miike,Hara-Kiri: Death of a Samurai
Brian Robbins,Hard Ball
Penny Panayotopoulou,Hard Goodbyes: My Father
Justin Corsbie,Hard Luck Love Song
Aleksei German,Hard to Be a God
Ilya Naishuller,Hardcore Henry
Felix Moeller,Harlan: In the Shadow of Jew Suess
Kôji Fukada,Harmonium
Neil Berkeley,Harmontown
Bob Byington,Harmony and Me
Daniel Raim,Harold and Lillian: A Hollywood Love Story
Hayden Schlossberg,Harold & Kumar Escape from Guantanamo Bay
Danny Leiner,Harold & Kumar Go to White Castle
Kasi Lemmons,Harriet
Elie Chouraqui,Harrison's Flowers
Christopher Munch,Harry + Max
Justin Bare,Harry Benson: Shoot First
Daniel Barber,Harry Brown
Dominik Moll,Harry Is Here to Help
Chris Columbus,Harry Potter and the Chamber of Secrets
David Yates,Harry Potter and the Deathly Hallows: Part 2
David Yates,Harry Potter and the Deathly Hallows: Part I
Mike Newell,Harry Potter and the Goblet of Fire
David Yates,Harry Potter and the Half-Blood Prince
David Yates,Harry Potter and the Order of the Phoenix
Alfonso Cuarón,Harry Potter and the Prisoner of Azkaban
Chris Columbus,Harry Potter and the Sorcerer's Stone
David Ayer,Harsh Times
Gregory Hoblit,Hart's War
Kevin Rafferty,Harvard Beats Yale 29-29
James Toback,Harvard Man
Eduardo Lopez,Harvest of Empire
Adam Green,Hatchet
Adam Green,Hatchet II
BJ McDonnell,Hatchet III
Liza Johnson,Hateship Loveship
Mac Carter,Haunt
Vincenzo Natali,Haunter
Peter Cornwell,The Haunting in Connecticut
Christian Vincent,Haute Cuisine
Roberta Grossman,Hava Nagila: The Movie
Jian Liu,Have a Nice Day
Frank E. Flowers,Haven
Steven Soderbergh,Haywire
Laetitia Colombani,He Loves Me... He Loves Me Not
Davis Guggenheim,He Named Me Malala
Steven Judd,Head Games
John Duigan,Head in the Clouds
Chris Rock,Head of State
Fatih Akin,Head-On
Mark Waters,Head Over Heels
Morten Tyldum,Headhunters
Laurent Cantet,Heading South
Kimo Stamboel,Headshot
Katell Quillévéré,Heal the Living
Laurie Anderson,Heart of a Dog
Nicolas Klotz,Heartbeat Detector
Xavier Dolan,Heartbeats
Rudolf Gerber,Heartbreak Hospital
Pascal Chaumeil,Heartbreaker
David Mirkin,Heartbreakers
Philip Ridley,Heartless
Ben Lawrence,Hearts and Bones
Peter Davis,Hearts and Minds (re-release)
Brett Haley,Hearts Beat Loud
Scott Hicks,Hearts in Atlantis
Tom Tykwer,Heaven
Randall Wallace,Heaven Is for Real
Ben Safdie,Heaven Knows What
Jukka Vidgren,Heavy Trip
Peter Chelsom,Hector and the Search for Happiness
John Cameron Mitchell,Hedwig and the Angry Inch
Thomas Heise,Heimat is a Space in Time
David Mamet,Heist
Scott Mann,Heist
Chris Lofing,Held
Steve Rash,Held Up
José Henrique Fonseca,Heleno
Amat Escalante,Heli
Danfung Dennis,Hell and Back Again
Robert Ben Garant,Hell Baby
Gregory Plotkin,Hell Fest
George Ratliff,Hell House
David Mackenzie,Hell or High Water
Larry Bishop,Hell Ride
Michael M. Bilandic,Hellaware
Paul Etheredge,HellBent
Neil Marshall,Hellboy
Guillermo del Toro,Hellboy II: The Golden Army
Kat Candler,Hellion
Bruce McDonald,Hellions
Todd Louiso,Hello I Must Be Going
Adam Reid,Hello Lonesome
Michael Showalter,"Hello, My Name Is Doris"
Gero von Boehm,Helmut Newton: The Bad and the Beautiful
John Irvin,Hemingway's Garden of Eden
Heinz Bütler,Henri Cartier-Bresson: The Impassioned Eye
Jacques Richard,Henri Langlois: The Phantom of the Cinematheque
Malcolm Venville,Henry's Crime
Spike Jonze,Her
Alex Ross Perry,Her Smell
Megumi Sasaki,Herb & Dorothy
Megumi Sasaki,Herb & Dorothy 50X50
Angela Robinson,Herbie Fully Loaded
Doug Biro,Herbie Hancock: Possibilities
Brett Ratner,Hercules
Braden King,Here
Fabien Constant,Here and Now
Darko Lungulov,Here and There
Frank Coraci,Here Comes the Boom
Adrián García Bogliano,Here Comes the Devil
Mark Piznarski,Here on Earth
Clint Eastwood,Hereafter
Ari Aster,Hereditary
Angad Bhalla,Herman's House
Matías Piñeiro,Hermia & Helena
Yimou Zhang,Hero
Luis Estrada,Herod's Law
Phyllida Lloyd,Herself
Mark Waters,He's All That
Tuck Tucker,Hey Arnold! The Movie
Douglas Tirola,Hey Bartender
Mary Murphy,"Hey, Boo: Harper Lee and 'To Kill a Mockingbird'"
Noam Gonick,"Hey, Happy!"
Derick Martini,Hick
Joe Johnston,Hidalgo
Theodore Melfi,Hidden Figures
John Smihula,Hidden in Plain Sight
John Polson,Hide and Seek
Chris Eyre,Hide Away
Daniel Patrick Carbone,Hide Your Smiling Faces
François Ozon,Hideaway (Le refuge)
Menachem Daum,Hiding and Seeking: Faith and Tolerance After the Holocaust
Pieter van Huystee,"Hieronymus Bosch, Touched by the Devil"
Carl Franklin,High Crimes
Stephen Frears,High Fidelity
Mel Smith,High Heels and Low Lifes
Claire Denis,High Life
Ben Wheatley,High-Rise
John Stalberg,High School
Kenny Ortega,High School Musical 3: Senior Year
Alexandre Aja,High Tension
Vera Farmiga,Higher Ground
Douglas Aarniokoski,Highlander: Endgame
Mystelle Brabbee,Highway Courtesans
Jeremy Earp,"Hijacking Catastrophe: 9/11, Fear & the Selling of American Empire"
Sang-soo Hong,Hill of Freedom
Bruce Schooley,Hillary's America: The Secret History of the Democratic Party
Ron Howard,Hillbilly Elegy
Eric Valli,Himalaya
Shion Sono,Himizu
Thomas Lilti,Hippocrates: Diary of a French Doctor
Valeriy Todorovskiy,Hipsters
Remi Weekes,His House
Barbara Hammer,History Lessons
David Palmer,Hit and Run
Christopher Livingston,Hit and Runway
Ricky Blitt,Hit by Lightning
P. David Ebersole,Hit So Hard
Andy Tennant,Hitch
Sacha Gervasi,Hitchcock
Chanoch Zeevi,Hitler's Children
Rüdiger Suchsland,Hitler's Hollywood
Xavier Gens,Hitman
Aleksander Bach,Hitman: Agent 47
David Cross,Hits
Blerta Basholli,Hive
Jason Eisener,Hobo with a Shotgun
Randall Wright,Hockney
Jeremy Saulnier,Hold the Dark
Andrew Davis,Holes
John Whitesell,Holidate
Isabella Eklöf,Holiday
Adam Egypt Mortimer,Holidays
Nicole Riegel,Holler
Paul Verhoeven,Hollow Man
Guy Moshe,Holly
Philippe Caland,Hollywood Buddha
Henry Jaglom,Hollywood Dreams
Woody Allen,Hollywood Ending
Ron Shelton,Hollywood Homicide
Allen Coulter,Hollywoodland
Etan Cohen,Holmes & Watson
William Francesco Allen,Holy Hell
Leos Carax,Holy Motors
Tim Johnson,Home
Hallie Meyers-Shyer,Home Again
Chris Smith,Home Movie
Irwin Winkler,Home of the Brave
Paola di Florio,Home of the Brave
John Sanford,Home on the Range
Paul F. Ryan,Home Room
Anthony Burns,Home Sweet Hell
Dan Mazer,Home Sweet Home Alone
Gary Fleder,Homefront
Peter Nicks,Homeroom
Bille Woodruff,Honey
Valeria Golino,Honey
Alma Har'el,Honey Boy
John Sayles,Honeydripper
James Bird,Honeyglue
Ljubomir Stefanov,Honeyland
Leigh Janiak,Honeymoon
Shan Khan,Honour
Cory Edwards,Hoodwinked!
Mike Disa,Hoodwinked Too! Hood VS. Evil
Nanfu Wang,Hooligan Sparrow
Wil Shriner,Hoot
Tim Hill,Hop
Maria Sødahl,Hope
William Nicholson,Hope Gap
David Frankel,Hope Springs
Alexandre Aja,Horns
Michael Galinsky,Horns and Halos
Seth Gordon,Horrible Bosses
Sean Anders,Horrible Bosses 2
Tara Subkoff,#Horror
Bruno Dumont,Hors Satan (Outside Satan)
Jeff Baena,Horse Girl
Pedro Costa,Horse Money
Nabil Ayouch,Horses of God
Jimmy Hayward,Horton Hears a Who!
Rob Savage,Host
Florent Emilio Siri,Hostage
Eli Roth,Hostel
Eli Roth,Hostel: Part II
Scott Cooper,Hostiles
Edgar Wright,Hot Fuzz
Anne Fletcher,Hot Pursuit
Elijah Bynum,Hot Summer Nights
Steve Pink,Hot Tub Time Machine
Steve Pink,Hot Tub Time Machine 2
Mike Figgis,Hotel
Drew Pearce,Hotel Artemis
Thor Freudenthal,Hotel for Dogs
Anthony Maras,Hotel Mumbai
Sebastian Gutierrez,Hotel Noir
Terry George,Hotel Rwanda
Genndy Tartakovsky,Hotel Transylvania 2
Genndy Tartakovsky,Hotel Transylvania 3: Summer Vacation
Deborah Kampmeier,Hounddog
Ben Young,Hounds of Love
Eric Heisserer,Hours
Mark Tonderai,House at the End of the Street
Rob Zombie,House of 1000 Corpses
Jean-Claude Schlim,House of Boys
P. David Ebersole,House of Cardin
David Duchovny,House of D
Yimou Zhang,House of Flying Daggers
Andrey Konchalovskiy,House of Fools
Ridley Scott,House of Gucci
Bora Kim,House of Hummingbird
Bertrand Bonello,House of Pleasures
Andrucha Waddington,House of Sand
Vadim Perelman,House of Sand and Fog
Uwe Boll,House of the Dead
Vadim Glowna,House of the Sleeping Beauties
Jaume Collet-Serra,House of Wax
Gerard Johnstone,Housebound
Anthony Byrne,How About You ...
James L. Brooks,How Do You Know
Marc Meyers,How He Fell in Love
Jesse Dylan,How High
Anne Fontaine,How I Killed My Father
Kevin Macdonald,How I Live Now
Daryl Wein,How It Ends
Carlos Carcas,"How Much Does Your Building Weigh, Mr Foster?"
Ian Iqbal Rashid,How She Move
Ron Howard,How the Grinch Stole Christmas
Ken Marino,How to Be a Latin Lover
Coky Giedroyc,How to Build a Girl
Jerry Rothwell,How to Change the World
Clare Kilner,How to Deal
John W. Walter,How to Draw a Bunny
Bob Dolman,How to Eat Fried Worms
Joe Angio,How to Eat Your Watermelon in White Company (and Enjoy It)
Michael Kalesniko,How to Kill Your Neighbor's Dog
Mark Wexler,How to Live Forever
Donald Petrie,How to Lose a Guy in 10 Days
Robert B. Weide,How to Lose Friends & Alienate People
David France,How to Survive a Plague
Chris Sanders,How to Train Your Dragon
Dean DeBlois,How to Train Your Dragon 2
Don Hahn,Howard
Deb Ellis,Howard Zinn: You Can't Be Neutral on a Moving Train
Jeffrey Friedman,Howl
Hayao Miyazaki,Howl's Moving Castle
Steven Brill,Hubie Halloween
Brigitte Berman,"Hugh Hefner: Playboy, Activist and Rebel"
